Corri el:
mar nov 10 00:18:35 -05 2020
begin of the script
['1A43', '1A5E', '1AEP', '1AG2', '1AKY', '1B8E', '1BLC', '1BOY', '1CAH', '1CSE', '1G4I', '1HK0', '1IET', '1IMQ', '1LVE', '1MSI', '1ONC', '1P2P', '1PDO', '1QND', '1SSO']
analyzing 1A43
analzying WA184A
size of 1A43 = 2411
Graph (s) |  Centrality(s)
  3.5370  |  0.1927 
  2.5506  |  0.1986 
  2.6487  |  0.1843 
  2.5951  |  0.1748 
  2.5652  |  0.1852 
  2.5537  |  0.1770 
  2.6071  |  0.1790 
  2.5905  |  0.1916 
  2.6367  |  0.2012 
  2.6071  |  0.1761 
  2.6330  |  0.1858 
  2.5956  |  0.1842 
  2.6279  |  0.1793 
  2.6076  |  0.1732 
  2.6228  |  0.1674 
  2.6770  |  0.1781 
  2.6609  |  0.1718 
  2.6347  |  0.1750 
  2.6071  |  0.1675 
  2.6508  |  0.1628 
analzying CA218S
size of 1A43 = 2489
Graph (s) |  Centrality(s)
  2.8409  |  0.4752 
  2.8201  |  0.4901 
  2.8727  |  0.4973 
  2.9080  |  0.4851 
  2.9037  |  0.4898 
  2.9129  |  0.4538 
  2.9409  |  0.4878 
  2.8263  |  0.5005 
  2.7712  |  0.5096 
  2.8185  |  0.4807 
  2.8374  |  0.5252 
  2.8245  |  0.5270 
  2.8013  |  0.4964 
  2.7744  |  0.4986 
  2.8330  |  0.5018 
  2.8606  |  0.4970 
  2.7692  |  0.4867 
  2.7894  |  0.4696 
  2.8283  |  0.5147 
  2.7661  |  0.4777 
analzying EA159D
size of 1A43 = 2479
Graph (s) |  Centrality(s)
  2.7640  |  0.4119 
  2.7825  |  0.4705 
  2.7999  |  0.4641 
  2.7517  |  0.4555 
  2.7997  |  0.4352 
  2.7900  |  0.4167 
  2.8856  |  0.4162 
  2.7761  |  0.4397 
  2.7732  |  0.4307 
  2.8430  |  0.4545 
  2.8066  |  0.4522 
  2.7415  |  0.4558 
  2.7552  |  0.4538 
  2.7939  |  0.4351 
  2.7958  |  0.4409 
  2.8097  |  0.4117 
  2.7456  |  0.3923 
  2.7884  |  0.4192 
  2.7912  |  0.3999 
  2.7358  |  0.4089 
analzying GA156A
size of 1A43 = 2495
Graph (s) |  Centrality(s)
  2.8401  |  0.2297 
  2.8501  |  0.2344 
  2.7583  |  0.2543 
  2.7963  |  0.2346 
  2.7855  |  0.2435 
  2.7930  |  0.2273 
  2.8083  |  0.2383 
  2.8114  |  0.2227 
  2.7821  |  0.2238 
  2.8208  |  0.2200 
  2.8647  |  0.2191 
  2.7804  |  0.2213 
  2.8835  |  0.2114 
  2.7962  |  0.2148 
  2.7964  |  0.2132 
  2.8246  |  0.2166 
  2.8138  |  0.2194 
  2.8274  |  0.2166 
  2.8363  |  0.2198 
  2.8851  |  0.2310 
analyzing WT of 1A43
size of 1A43 = 2496
Graph (s) | Centrality (all mutants 5)(s)
  2.8864  |  3.3185 
  2.8430  |  3.2258 
  2.8210  |  3.0476 
  2.9323  |  3.1307 
  2.9995  |  3.2985 
  2.8300  |  3.2977 
  2.8110  |  3.3439 
  2.8086  |  3.3008 
  2.8151  |  3.3501 
  2.8236  |  3.3485 
  2.8224  |  3.3499 
  2.8332  |  3.3059 
  2.8099  |  3.2060 
  2.8351  |  3.3071 
  2.9793  |  3.4571 
  2.9410  |  3.3531 
  2.8623  |  3.3342 
  2.8446  |  3.4788 
  2.8378  |  3.4469 
  2.8341  |  3.5197 
analzying RA167A
size of 1A43 = 2503
Graph (s) |  Centrality(s)
  2.8655  |  0.2807 
  2.8214  |  0.2737 
  2.8286  |  0.2860 
  2.8981  |  0.2860 
  2.8601  |  0.2705 
  2.9862  |  0.2769 
  2.8134  |  0.2813 
  2.8262  |  0.2912 
  2.8625  |  0.2847 
  2.8306  |  0.2761 
  2.9313  |  0.2837 
  2.9592  |  0.2863 
  3.0216  |  0.3031 
  2.8494  |  0.2713 
  2.8109  |  0.2805 
  2.8329  |  0.2701 
  2.9036  |  0.2730 
  2.8689  |  0.2728 
  2.8075  |  0.2853 
  2.8552  |  0.2722 
analyzing 1A5E
analzying WA15D
size of 1A5E = 5593
Graph (s) |  Centrality(s)
  12.6924  |  0.7407 
  12.6855  |  0.7588 
  12.7056  |  0.7268 
  13.0627  |  0.7309 
  12.8858  |  0.7124 
  12.6526  |  0.7394 
  12.6770  |  0.7118 
  12.7073  |  0.6955 
  12.8977  |  0.6924 
  12.6797  |  0.7005 
  12.7214  |  0.7269 
  12.6764  |  0.7344 
  12.6998  |  0.6738 
  13.2858  |  0.6877 
  12.6853  |  0.7202 
  12.8583  |  0.7156 
  12.7384  |  0.6818 
  12.6903  |  0.7132 
  13.3379  |  0.7145 
  12.7537  |  0.6917 
analzying LA37S
size of 1A5E = 5591
Graph (s) |  Centrality(s)
  12.8155  |  0.6409 
  12.9929  |  0.6432 
  12.9087  |  0.6765 
  13.2763  |  0.6325 
  12.8596  |  0.6375 
  13.0315  |  0.6628 
  12.9183  |  0.6838 
  12.8992  |  0.6867 
  13.6567  |  0.6837 
  12.9365  |  0.6491 
  12.9893  |  0.6819 
  13.1339  |  0.6726 
  13.0146  |  0.6453 
  13.5315  |  0.6524 
  13.5017  |  0.7517 
  13.0200  |  0.7113 
  13.0589  |  0.6639 
  13.2701  |  0.7146 
  13.5176  |  0.7002 
  13.0263  |  0.6638 
analyzing WT of 1A5E
size of 1A5E = 5591
Graph (s) | Centrality (all mutants 3)(s)
  13.3267  |  60.5249 
  13.2403  |  58.9792 
  13.1002  |  58.0957 
  13.3870  |  58.5995 
  13.1664  |  58.6172 
  13.1456  |  59.3391 
  13.4435  |  59.4237 
  13.2170  |  58.7334 
  13.1871  |  61.1751 
  13.4975  |  61.6003 
  13.5707  |  59.0285 
  13.3878  |  60.1949 
  13.3326  |  60.4334 
  13.2167  |  59.7592 
  13.3843  |  58.0945 
  13.5484  |  56.3510 
  13.2544  |  56.3900 
  13.1312  |  56.8702 
  13.1337  |  56.9428 
  13.1396  |  58.9554 
analzying LA121R
size of 1A5E = 5593
Graph (s) |  Centrality(s)
  13.3541  |  0.8754 
  13.1858  |  0.8881 
  13.1207  |  0.9330 
  13.5471  |  0.8990 
  13.5542  |  0.9156 
  13.2689  |  0.8658 
  13.1591  |  0.9349 
  13.1455  |  0.9486 
  13.9383  |  0.9623 
  13.5191  |  0.9489 
  13.1845  |  0.9270 
  13.3035  |  1.0043 
  13.2745  |  1.0243 
  13.6755  |  1.0016 
  13.6229  |  1.0048 
  13.3528  |  1.0434 
  13.4410  |  0.9665 
  13.2619  |  0.9760 
  13.3152  |  1.0207 
  13.7163  |  1.0592 
analyzing 1AEP
analyzing WT of 1AEP
size of 1AEP = 3935
Graph (s) | Centrality (all mutants 4)(s)
  7.9894  |  7.0638 
  7.8993  |  6.8645 
  7.8598  |  6.7915 
  7.8618  |  6.7706 
  8.1311  |  6.9860 
  8.0590  |  6.6690 
  7.9192  |  6.6293 
  7.8609  |  6.5038 
  7.8307  |  6.6585 
  7.9677  |  6.7545 
  8.2010  |  6.5587 
  7.8436  |  6.5035 
  7.8238  |  6.6477 
  7.8675  |  6.4963 
  7.8816  |  6.6569 
  8.0520  |  6.5486 
  7.8392  |  6.4252 
  7.8272  |  6.6073 
