Corri el:
mar nov 10 11:01:54 -05 2020
begin of the script
['1G4I', '1HK0', '1IET', '1IMQ', '1LVE', '1MSI', '1ONC', '1P2P', '1PDO', '1QND', '1SSO']
analyzing 1G4I
analzying FA22A
size of 1G4I = 3925
Graph (s) |  Centrality(s)
  8.2971  |  0.7028 
  8.1918  |  0.6988 
  8.3037  |  0.6759 
  8.3752  |  0.6710 
  8.4314  |  0.6813 
  8.4144  |  0.7056 
  8.5019  |  0.7076 
  8.1488  |  0.5576 
  7.0072  |  0.5739 
  7.0154  |  0.5776 
  7.0122  |  0.5798 
  7.0881  |  0.5894 
  7.5748  |  0.6139 
  14.1973  |  1.1660 
  14.1249  |  1.1962 
  7.6565  |  0.6024 
  7.1889  |  0.5719 
  7.0477  |  0.5633 
  9.8258  |  1.2049 
  13.6974  |  1.2665 
analzying FA22Y
size of 1G4I = 3939
Graph (s) |  Centrality(s)
  11.3803  |  2.2298 
  11.7715  |  2.1036 
  10.1315  |  2.1759 
  7.7994  |  2.0950 
  7.7808  |  2.1362 
  7.3447  |  2.0847 
  7.1182  |  2.0783 
  7.1518  |  2.0153 
  7.1014  |  2.0689 
  12.7954  |  2.1605 
  7.6871  |  2.1009 
  7.6402  |  2.1187 
  7.8071  |  2.1071 
  7.6420  |  2.1227 
  7.1969  |  2.0814 
  7.1156  |  2.1187 
  7.3091  |  2.1780 
  7.9634  |  2.2209 
  7.8708  |  2.1522 
  7.7876  |  2.1583 
analzying FA106Y
size of 1G4I = 3927
Graph (s) |  Centrality(s)
  7.3549  |  1.8394 
  7.8568  |  1.8801 
  7.8073  |  1.8955 
  7.7354  |  1.8384 
  7.3678  |  1.8822 
  7.2300  |  1.8542 
  7.3859  |  1.8400 
  13.7355  |  3.6795 
  13.6181  |  3.7707 
  13.5013  |  3.5705 
  13.7440  |  3.6218 
  13.5201  |  3.5959 
  10.2406  |  1.8682 
  8.0171  |  1.8637 
  7.6854  |  1.7998 
  7.7899  |  1.9514 
  8.0206  |  1.9191 
  7.7394  |  1.7410 
  7.3334  |  1.6985 
  7.1817  |  1.6876 
analzying FA106I
size of 1G4I = 3940
Graph (s) |  Centrality(s)
  7.1223  |  1.0226 
  7.1555  |  1.1078 
  14.6638  |  2.1787 
  8.0262  |  1.1269 
  7.7410  |  1.0554 
  7.7854  |  1.1152 
  8.0300  |  1.1451 
  7.9381  |  1.1039 
  7.9129  |  1.0793 
  7.4385  |  1.0990 
  7.1620  |  1.0557 
  7.2675  |  1.0089 
  7.3391  |  1.0159 
  7.4451  |  1.0958 
  8.2727  |  1.0941 
  8.1096  |  1.0125 
  7.7945  |  1.0665 
  8.1155  |  1.1346 
  7.9159  |  1.0721 
  7.5897  |  1.0626 
analzying FA106A
size of 1G4I = 3947
Graph (s) |  Centrality(s)
  7.3100  |  0.3819 
  7.3279  |  0.3686 
  14.1052  |  0.8682 
  15.3881  |  0.7632 
  7.9411  |  0.4254 
  7.7530  |  0.4211 
  8.0564  |  0.4160 
  8.1083  |  0.4088 
  8.1506  |  0.4111 
  7.7590  |  0.3853 
  7.4530  |  0.3671 
  7.3437  |  0.3653 
  7.3414  |  0.3659 
  7.2941  |  0.3935 
  7.4009  |  0.3785 
  7.4385  |  0.3845 
  7.3567  |  0.3706 
  7.3439  |  0.3593 
  7.4546  |  0.3814 
  7.5404  |  0.3634 
analzying HA48N
size of 1G4I = 3932
Graph (s) |  Centrality(s)
  7.2735  |  1.2586 
  7.3437  |  1.2912 
  8.1371  |  1.3044 
  9.0307  |  1.2987 
  7.5943  |  1.3016 
  10.6165  |  1.3299 
  8.1547  |  1.2884 
  7.9483  |  1.2956 
  7.4739  |  1.2628 
  13.3060  |  2.4693 
  14.0784  |  2.6922 
  8.4704  |  1.3497 
  8.1867  |  1.2557 
  7.9716  |  1.2050 
  14.5833  |  2.6319 
  11.0297  |  1.2725 
  8.0354  |  1.2418 
  7.4868  |  1.2104 
  7.3375  |  1.2296 
  7.2621  |  1.2348 
analzying FA22I
size of 1G4I = 3916
Graph (s) |  Centrality(s)
  7.2842  |  1.1913 
  7.9360  |  1.1863 
  8.0068  |  1.1415 
  7.4684  |  1.2014 
  8.0054  |  1.1638 
  7.9947  |  1.2404 
  7.7951  |  1.1492 
  7.2595  |  1.1478 
  7.2083  |  1.1455 
  7.1815  |  1.1179 
  7.7037  |  1.1342 
  8.2140  |  1.1884 
  7.9915  |  1.1899 
  8.0089  |  1.1762 
  7.7218  |  1.2003 
  8.0670  |  1.2074 
  7.9894  |  1.1533 
  10.0172  |  1.1381 
  7.3534  |  1.1522 
  7.3636  |  1.1750 
analzying HA48A
size of 1G4I = 3939
Graph (s) |  Centrality(s)
  7.5519  |  0.5920 
  13.5347  |  1.1896 
  13.7464  |  1.1965 
  13.6128  |  1.1298 
  13.6920  |  1.2487 
  8.2054  |  0.6145 
  14.9607  |  1.2310 
  15.5994  |  1.1901 
  13.9599  |  1.1323 
  13.6187  |  1.1215 
  12.7493  |  0.6121 
  8.1215  |  0.5915 
  8.1618  |  0.5920 
  7.8851  |  0.6045 
  8.2398  |  0.6220 
  8.4227  |  0.6298 
  8.2552  |  0.5924 
  7.5980  |  0.5679 
  7.3355  |  0.5810 
  7.5982  |  0.6248 
analyzing WT of 1G4I
size of 1G4I = 3822
Graph (s) | Centrality (all mutants 9)(s)
  7.5599  |  20.5522 
  7.2724  |  19.7398 
  7.8740  |  19.9083 
  7.4541  |  20.4750 
  7.6628  |  19.6936 
  7.1147  |  19.6888 
  7.1053  |  19.2774 
  11.4217  |  33.5099 
  7.6653  |  18.9470 
  7.5306  |  20.2304 
  7.5778  |  20.1625 
  7.8422  |  19.0625 
  7.0092  |  19.9099 
  7.2910  |  19.9610 
  7.0889  |  19.2955 
  7.9946  |  19.9594 
  7.5031  |  19.8684 
  7.1438  |  19.7457 
  7.0624  |  19.1298 
  6.9582  |  19.5272 
analzying HA48Q
size of 1G4I = 3932
Graph (s) |  Centrality(s)
  8.1801  |  1.1290 
  8.0417  |  1.0412 
  13.5844  |  1.0736 
  8.1043  |  1.1187 
  7.7737  |  1.0306 
  13.7556  |  2.0846 
  13.9233  |  2.2021 
  8.1507  |  1.1223 
  8.0724  |  1.0731 
  8.0287  |  1.0838 
  7.5770  |  1.1293 
  7.9546  |  1.1427 
  8.0535  |  1.0950 
  8.0478  |  1.1381 
  7.6550  |  1.1065 
  7.3054  |  1.1178 
  7.3358  |  1.0927 
  7.2964  |  1.0654 
  7.6114  |  1.1254 
  14.3395  |  2.1854 
analyzing 1HK0
analzying QX143A
size of 1HK0 = 4098
Graph (s) |  Centrality(s)
  19.7028  |  2.7451 
  18.6816  |  2.6429 
  16.4406  |  1.3312 
  17.4893  |  1.3660 
  10.1569  |  1.3696 
  10.6273  |  1.4085 
  10.7509  |  1.4047 
  10.7153  |  1.3614 
  9.7338  |  1.3676 
  9.8026  |  1.3680 
  9.8602  |  1.3569 
  9.7607  |  1.3825 
  9.9699  |  1.3367 
  9.9935  |  1.3922 
  9.8638  |  1.3598 
  18.0129  |  2.6953 
  18.7257  |  2.7808 
  11.9127  |  1.3242 
  10.2937  |  1.4231 
  10.8049  |  1.4198 
analyzing WT of 1HK0
size of 1HK0 = 4117
Graph (s) | Centrality (all mutants 10)(s)
  10.2007  |  28.1651 
  10.8544  |  28.2702 
  10.7237  |  27.8018 
  10.0168  |  29.1465 
  10.8049  |  27.4487 
  9.7764  |  29.0317 
  10.4135  |  28.4054 
  10.4281  |  27.5612 
  10.0217  |  28.1202 
  9.9564  |  27.6243 
  10.1761  |  27.7547 
  11.0422  |  27.7306 
  9.5629  |  27.9860 
  10.7497  |  28.5938 
  15.1073  |  47.5988 
  10.7968  |  28.0945 
  10.0151  |  26.6520 
  11.0339  |  27.6874 
  10.8283  |  28.3894 
  15.5922  |  27.9124 
analzying MX147A
size of 1HK0 = 4112
Graph (s) |  Centrality(s)
  10.0511  |  1.1169 
  9.8956  |  1.1562 
  9.7732  |  1.1562 
  17.6631  |  2.2955 
  20.0636  |  2.2638 
  19.9958  |  2.2172 
  18.7288  |  2.2173 
  9.7145  |  1.1313 
  10.5781  |  1.1675 
  20.1469  |  2.3737 
  18.4801  |  1.2121 
  9.8949  |  1.1377 
  9.5738  |  1.1348 
  18.7370  |  2.3842 
  19.9171  |  2.3149 
  14.6410  |  1.1395 
  9.5765  |  1.0983 
  9.6408  |  1.1938 
  11.0082  |  1.2298 
  10.8375  |  1.2708 
analzying IX81A
size of 1HK0 = 4108
Graph (s) |  Centrality(s)
  10.4608  |  1.1263 
  10.7856  |  1.2069 
  16.7482  |  2.4948 
  15.1286  |  1.1760 
  9.8678  |  1.2282 
  9.9217  |  1.2700 
  16.5682  |  1.4573 
  10.1203  |  1.2372 
  10.0814  |  1.1960 
  9.6788  |  1.1843 
  17.7901  |  2.4479 
  19.7057  |  2.4913 
  10.7485  |  1.2211 
  10.2728  |  1.1633 
  9.6078  |  1.1454 
  9.8084  |  1.2207 
  10.6962  |  1.1908 
  10.7745  |  1.1966 
  19.0723  |  2.5487 
  13.4622  |  1.2383 
analzying MX43A
size of 1HK0 = 4114
Graph (s) |  Centrality(s)
  9.9975  |  1.1764 
  9.6502  |  1.1645 
  9.6989  |  1.2194 
  10.8667  |  1.1910 
  10.3352  |  1.1727 
  10.7621  |  1.2437 
  10.7169  |  1.1665 
  9.7966  |  1.1616 
  9.6693  |  1.1971 
  10.7024  |  1.2552 
  11.2023  |  1.2523 
  10.6244  |  1.2033 
  10.6781  |  1.2126 
  10.8048  |  1.2579 
  10.6158  |  1.2270 
  9.9226  |  1.2103 
  9.8579  |  1.2197 
  9.9886  |  1.2339 
  9.9298  |  1.2291 
  9.9709  |  1.1997 
analzying VX170A
size of 1HK0 = 4123
Graph (s) |  Centrality(s)
  10.0687  |  1.3302 
  9.9763  |  1.2341 
  17.5522  |  2.2697 
  10.0293  |  1.2593 
  19.0073  |  2.5196 
  20.4375  |  2.5838 
  18.3964  |  2.3896 
  9.6428  |  1.1005 
  13.9792  |  1.1573 
  10.8217  |  1.1649 
  10.4344  |  1.1596 
  10.7091  |  1.1617 
  10.9591  |  1.1635 
  16.2118  |  2.3420 
  11.0569  |  1.2276 
  9.7000  |  1.1629 
  14.8291  |  1.2497 
  10.4641  |  1.1279 
  10.6931  |  1.1873 
  11.0293  |  1.1602 
analzying FX56A
size of 1HK0 = 4115
Graph (s) |  Centrality(s)
  9.8465  |  1.2929 
  9.5110  |  1.3654 
  10.5640  |  1.3981 
  11.0420  |  1.3907 
  10.5429  |  1.3368 
  10.4739  |  1.3790 
  20.1517  |  1.3603 
  9.7589  |  1.3548 
  9.8241  |  1.3201 
  9.6594  |  1.3453 
  9.7600  |  1.3685 
  18.3223  |  2.6916 
  18.2729  |  2.6613 
  9.6593  |  1.2839 
  9.5309  |  1.3032 
  13.8692  |  1.3796 
  10.6308  |  1.3698 
  10.4244  |  1.3318 
  10.7514  |  1.3425 
  10.0252  |  1.3210 
analzying RX79A
size of 1HK0 = 4101
Graph (s) |  Centrality(s)
  17.8643  |  1.0496 
  10.7752  |  1.0768 
  10.8599  |  1.0748 
  10.2480  |  1.0922 
  10.9354  |  1.0881 
  10.5948  |  1.1275 
  10.1700  |  1.0494 
  9.5755  |  1.0597 
  9.5953  |  1.0445 
  10.1965  |  1.0950 
  10.7997  |  1.1197 
  10.1156  |  1.0886 
  20.1382  |  2.0363 
  18.1399  |  2.2357 
  16.6734  |  1.0409 
  19.5225  |  1.0492 
  9.9606  |  1.0817 
  10.9472  |  1.1296 
  10.7652  |  1.1861 
  9.8843  |  1.0435 
analzying VX132A
size of 1HK0 = 4110
Graph (s) |  Centrality(s)
  9.7589  |  1.3490 
  9.7579  |  1.3382 
  9.6506  |  1.4263 
  9.7436  |  1.4094 
  14.8359  |  1.3762 
  9.6618  |  1.3967 
  18.3004  |  2.8892 
  20.0305  |  2.6800 
  13.4658  |  1.4750 
  10.5427  |  1.3578 
  9.8116  |  1.3490 
  10.0689  |  1.4362 
  11.1288  |  1.3765 
  11.4263  |  2.7801 
  20.7361  |  2.9258 
  18.8407  |  2.6465 
  18.2263  |  2.8812 
  20.0073  |  2.8022 
  12.8868  |  1.4183 
  10.2671  |  1.4485 
analzying QX54A
size of 1HK0 = 4108
Graph (s) |  Centrality(s)
  9.6602  |  1.2845 
  10.4431  |  1.3440 
  10.7815  |  1.3162 
  10.8423  |  1.2721 
  10.5029  |  1.3123 
  10.7464  |  1.3466 
  10.6718  |  1.2965 
  17.9136  |  2.5329 
  9.9779  |  1.2942 
  10.0547  |  1.2844 
  9.8465  |  1.3040 
  10.1725  |  1.3444 
  9.9989  |  1.2701 
  9.8046  |  1.2537 
  9.6539  |  1.2847 
  9.7988  |  1.3460 
  10.9300  |  1.3592 
  10.4145  |  1.2761 
  10.8173  |  1.4112 
  10.6683  |  1.3185 
analzying LX145A
size of 1HK0 = 4114
Graph (s) |  Centrality(s)
  9.7375  |  1.3969 
  9.7595  |  1.4630 
  10.8619  |  1.4270 
  10.8146  |  1.4277 
  10.4315  |  1.4383 
  10.9044  |  1.4599 
  10.8296  |  1.5429 
  10.1814  |  1.3847 
  9.7789  |  2.8388 
  15.6569  |  1.5244 
  10.7312  |  1.4956 
  10.1977  |  1.4766 
  11.0028  |  1.4870 
  10.2238  |  1.4564 
  9.6613  |  1.3847 
  10.7040  |  2.8387 
  13.7427  |  1.4353 
  10.8354  |  1.3859 
  10.7897  |  1.4108 
  10.8855  |  1.3715 
analyzing 1IET
analyzing WT of 1IET
size of 1IET = 3218
Graph (s) | Centrality (all mutants 1)(s)
  5.4503  |  0.4359 
  4.9608  |  0.4244 
  6.8145  |  0.8165 
  9.0745  |  0.8589 
  9.0819  |  0.7818 
  9.1279  |  0.7750 
  9.0648  |  0.8326 
  5.3039  |  0.4136 
  4.8654  |  0.4053 
  4.8826  |  0.4224 
  4.8893  |  0.4463 
  9.0572  |  0.7657 
  7.9195  |  0.4185 
  5.4005  |  0.4097 
  5.3009  |  0.4243 
  4.9940  |  0.4100 
  5.3137  |  0.3703 
  5.4316  |  0.4007 
  5.3562  |  0.4082 
  5.1575  |  0.4081 
analzying DA60R
size of 1IET = 3216
Graph (s) |  Centrality(s)
  9.0614  |  1.5914 
  4.8542  |  0.8082 
  4.9186  |  0.8464 
  5.2105  |  0.8092 
  5.4365  |  0.8539 
  5.3936  |  0.8370 
  5.4780  |  0.8424 
  5.3275  |  0.8224 
  5.0591  |  0.8003 
  5.3183  |  0.8519 
  9.2928  |  1.6452 
  10.1085  |  1.6109 
  5.0458  |  0.8537 
  4.8773  |  0.8387 
  4.9224  |  0.8339 
  4.9014  |  0.8589 
  4.9507  |  0.8551 
  5.4161  |  0.8833 
  5.3625  |  0.8682 
  5.4102  |  0.8097 
analyzing 1IMQ
analzying VA71I
size of 1IMQ = 2824
Graph (s) |  Centrality(s)
  3.9347  |  0.8852 
  4.1681  |  0.9032 
  4.1551  |  0.9229 
  4.1769  |  0.9030 
  6.7734  |  1.6836 
  7.0066  |  1.7733 
  7.0227  |  1.7432 
  7.6742  |  1.8185 
  7.8280  |  1.8446 
  4.1681  |  0.9515 
  4.1797  |  0.8775 
  3.9126  |  0.8747 
  4.0583  |  0.8989 
  4.1289  |  0.9178 
  4.1625  |  0.9446 
  7.7541  |  1.7779 
  7.5195  |  1.7436 
  7.0420  |  1.7381 
  5.3944  |  0.8675 
  7.0551  |  1.7370 
analzying AA25G
size of 1IMQ = 2824
Graph (s) |  Centrality(s)
  7.1105  |  0.4145 
  7.0617  |  0.4010 
  7.0643  |  0.3635 
  7.0445  |  0.3923 
  7.0983  |  0.4001 
  7.0410  |  0.3540 
  7.0682  |  0.3587 
  3.7658  |  0.1831 
  3.7702  |  0.1829 
  7.0561  |  0.3785 
  6.7298  |  0.3824 
  7.1938  |  0.4013 
  4.1292  |  0.2119 
  4.1265  |  0.1947 
  4.2004  |  0.1934 
  4.0830  |  0.1853 
  3.9295  |  0.2063 
  3.9840  |  0.2051 
  4.1855  |  0.2042 
  4.1919  |  0.2042 
analyzing WT of 1IMQ
size of 1IMQ = 2824
Graph (s) | Centrality (all mutants 8)(s)
  4.2682  |  5.8287 
  3.8263  |  5.5419 
  3.8189  |  5.4745 
  4.0166  |  5.8717 
  4.1536  |  5.7026 
  4.4032  |  5.6960 
  7.8652  |  11.5166 
  7.1399  |  10.9629 
  7.0795  |  11.1783 
  7.6231  |  11.2696 
  4.2624  |  5.6201 
  3.8228  |  5.6709 
  4.2754  |  5.6770 
  4.3603  |  5.7222 
  3.9001  |  5.6165 
  4.2295  |  5.5290 
  4.2649  |  5.5651 
  3.8419  |  5.4483 
  3.8705  |  5.2870 
  3.7987  |  5.5228 
analzying VA34L
size of 1IMQ = 2808
Graph (s) |  Centrality(s)
  7.1139  |  1.4698 
  3.8343  |  0.7199 
  3.7738  |  0.6717 
  3.7992  |  0.6613 
  3.7606  |  0.6691 
  3.8629  |  0.7134 
  3.8410  |  0.6976 
  3.8626  |  0.6706 
  3.7249  |  0.7142 
  3.7713  |  0.6525 
  3.8258  |  0.6139 
  6.1725  |  1.2458 
  7.1699  |  1.2670 
  6.4302  |  0.6790 
  4.1860  |  0.6587 
  4.0303  |  0.5720 
  6.6550  |  0.5906 
  4.1628  |  0.5909 
  4.2075  |  0.5829 
  7.3792  |  1.1472 
analzying EA41V
size of 1IMQ = 2824
Graph (s) |  Centrality(s)
  3.8817  |  0.6678 
  3.8462  |  0.7002 
  3.7963  |  0.6883 
  3.8370  |  0.7154 
  3.9463  |  0.7415 
  4.1866  |  0.7004 
  4.2074  |  0.7357 
  4.1471  |  0.7540 
  4.2832  |  0.7206 
  4.2131  |  0.7615 
  3.9534  |  0.7062 
  4.0741  |  0.7501 
  4.1938  |  0.7276 
  4.2108  |  0.6828 
  7.3600  |  1.3912 
  7.6811  |  1.3794 
  7.1721  |  1.3999 
  7.0839  |  1.3808 
  6.9873  |  1.3221 
  7.1738  |  1.4105 
analzying VA68I
size of 1IMQ = 2823
Graph (s) |  Centrality(s)
  4.1549  |  0.9030 
  4.2100  |  0.8889 
  4.1789  |  0.9086 
  3.9160  |  0.8873 
  4.0344  |  0.9099 
  7.6430  |  1.7286 
  7.8003  |  1.6830 
  3.8429  |  0.8280 
  3.8010  |  0.8579 
  3.8303  |  0.8392 
  3.7713  |  0.8517 
  6.5853  |  1.7190 
  7.6797  |  1.6788 
  4.1816  |  0.8764 
  4.1788  |  0.9042 
  4.2103  |  0.8774 
  3.9372  |  0.8265 
