ID	D_4HR_REP1	D_4HR_REP2	D_4HR_REP3	D_6HR_REP1	D_6HR_REP2	D_6HR_REP3	D_8HR_REP1	D_8HR_REP2	D_8HR_REP3
YBR019C	177.7139716246	103.8738562924	98.043549288	201597.130995516	238712.908257146	247875.500006426	69.222620953	72.5465763065	107.0822220602
YLR081W	94.6103158289	84.0883598557	36.4161754498	96290.186775498	134620.926076396	111579.719711892	84.4275897172	89.5496801283	81.3282699192
YBR018C	88.2177269215	154.9863887537	107.8479042168	130955.774445505	162887.698058633	114902.505020424	124.0405346556	94.0838411474	117.9259913828
YBR020W	235.2472717908	178.8938636147	287.1275372006	217134.072999576	280094.239847481	302254.31404642	240.0784541722	255.0465573274	268.3832907333
YPR082C	244.1968962611	248.9674968278	263.316960945	121967.93134493	127213.680928735	117803.583087946	265.2866918602	245.9782352891	283.2934735518
YDL245C	0	0	0	2.7107197448	3.7734310482	4.0162594382	0	0	0
YHR032C-A	0	0.8243956849	0	27.1071974482	27.3573750996	29.4525692134	0	1.1335402548	0
YEL057C	138.0799203989	103.0494606075	77.0342172977	3868.1970758582	4613.9628142144	5243.8960731346	41.2134679662	40.8074491724	60.9962024394
YFR056C	0	0	0	0.9035732483	1.8867155241	5.3550125843	0	0	0
YDR009W	99.7243869548	183.015842039	204.4908313722	6777.7029352984	8853.4125968927	9185.1853351485	150.0490338576	137.1583708294	193.8323766407
YDR406W-A	8.9496244703	0	0	0.9035732483	0	4.0162594382	0	0	0
YLR217W	0	1.6487913697	1.4006221327	3.6142929931	0.9433577621	0	0	0	0
YOL161C	0	4.9463741092	40.6180418479	7.2285859862	12.2636509067	12.0487783146	0.400130757	0	0
YCR096C	0	0	1.4006221327	0	1.8867155241	2.6775062921	0	0	0
YDL011C	0	0	0	0.9035732483	2.8300732862	0	0	0	0
YJR140W-A	0	0	1.4006221327	1.8071464965	1.8867155241	0	0	0	0
YJL195C	0	0	0	2.7107197448	0.9433577621	0	0	0	0
YKL183C-A	0	0	0	3.6142929931	0	0	0	0	0
